Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
20103814405,"Sep 9, 2026, 2:42:26 PM",Afternoon Ride,Ride,"",807,5.06,175.0,7,true,"",Canyon Grizl,activities/21249778480.fit.gz,,10.0,807.0,745.0,5061.3,9.24,6.794,33.0,26.0,-7.4,9.2,10.7,0.1,,,95.0,76.0,175.0,135.0,,188.0,162.0,,,7.0,139917.0,,,,,,,,201.0,803.0,0.0,,1.0,,1.0,,1788962400.0,8.0,17.6,13.5,12.0,0.7,1014.2,9.1,13.4,321.0,0.1,1788930443.0,1788977519.0,0.875,11728128.0,,0.63,5.0,0.32,19427.0,3.0,,,,,,6.272,0.0,,,,,1.1,,10.0,69.0,,,,,,,,,,,,,|
20098221523,"Sep 9, 2026, 5:41:43 AM",Morning Ride,Ride,"",906,5.08,144.0,4,true,"",Canyon Grizl,activities/21243847654.fit.gz,,10.0,906.0,794.0,5087.2,8.46,6.407,41.0,26.0,-5.4,11.6,24.1,0.2,,,90.0,74.0,144.0,125.0,,171.0,156.0,,,4.0,133557.0,,,,,,,,169.0,907.0,0.0,,1.0,,1.0,,1788930000.0,3.0,15.2,13.0,11.4,0.78,1009.2,3.4,7.7,266.0,0.0,1788930443.0,1788977519.0,0.875,11728128.0,,0.82,5.0,0.64,21059.0,0.0,,,,,,5.615,0.0,,,,,1.11,,8.0,58.0,,,,,,,,,,,,,|
20088929231,"Sep 8, 2026, 2:12:34 PM",Afternoon Ride,Ride,"",910,5.06,145.0,4,true,"",Canyon Grizl,activities/21233929106.fit.gz,,10.0,910.0,814.0,5059.5,8.16,6.216,20.0,10.0,-4.0,10.2,25.0,0.2,,,95.0,76.0,145.0,122.0,,168.0,161.0,,,4.0,136761.0,,,,,,,,171.0,903.0,0.0,,1.0,,1.0,,1788876000.0,5.0,17.0,17.0,15.5,0.91,1006.0,1.4,3.7,233.0,1.5,1788843944.0,1788891259.0,0.875,11728128.0,,0.99,5.0,1.0,6517.0,2.0,,,,,,5.56,0.0,,,,,1.1,,8.0,59.0,,,,,,,,,,,,,|
20083524890,"Sep 8, 2026, 5:44:40 AM",Morning Ride,Ride,"",905,5.12,144.0,4,true,"",Canyon Grizl,activities/21228199301.fit.gz,,10.0,905.0,865.0,5123.7,8.66,5.923,45.0,24.0,-10.6,12.0,18.4,0.3,,,94.0,72.0,144.0,127.0,,156.0,158.0,,,4.0,133213.0,,,,,,,,167.0,906.0,0.0,,1.0,,1.0,,1788843600.0,3.0,18.3,17.2,15.2,0.82,1010.9,3.4,7.5,245.0,0.0,1788843944.0,1788891259.0,0.875,11728128.0,,0.97,5.0,1.0,20052.0,0.0,,,,,,5.662,0.0,,,,,1.11,,8.0,58.0,,,,,,,,,,,,,|
20077070437,"Sep 7, 2026, 2:56:47 PM",Windy AF,Ride,"",8436,64.66,177.0,121,false,,Cube Agree C:62 Race,activities/21221276415.fit.gz,,7.5,8436.0,8342.0,64659.2,13.64,7.751,209.0,210.0,0.0,27.2,47.2,0.0,,,125.0,78.0,177.0,142.0,,200.0,1903.0,,21.0,121.0,1664483.0,,,,,,,,225.0,8437.0,0.0,,0.0,,1.0,,1788789600.0,3.0,23.3,21.7,18.9,0.76,1016.2,4.8,9.3,239.0,0.0,1788757446.0,1788804999.0,0.875,9711213.0,,0.0,1.0,0.88,25327.0,3.0,,,,,,7.665,10.1,,,,,0.0,,141.0,78.0,,,,,,,,,,,,,media/764c5dce-15fc-469c-b92a-f71b857647d6.jpg|media/7bef351c-52bd-4489-939d-67fa800c1e27.jpg||
20074226760,"Sep 7, 2026, 2:04:29 PM",Afternoon Ride,Ride,,906,5.05,147.0,4,true,,commuter ,activities/21218282193.fit.gz,,12.0,906.0,847.0,5058.8,8.5,5.973,48.0,42.0,-7.2,17.2,42.2,0.2,,,94.0,74.0,147.0,127.0,,159.0,158.0,,,4.0,133757.0,,,,,,,,164.0,904.0,,,1.0,,1.0,,1788789600.0,3.0,23.3,21.7,18.9,0.76,1016.2,4.8,9.3,239.0,0.0,1788757446.0,1788804999.0,0.875,13396594.0,,0.0,1.0,0.88,25327.0,3.0,,,,,,5.584,0.0,,,,,1.1,,8.0,57.0,,,,,,,,,,,,,|
20069647181,"Sep 7, 2026, 6:04:40 AM",Morning Ride,Ride,,853,5.15,151.0,5,true,,commuter ,activities/21213419854.fit.gz,,12.0,853.0,853.0,5156.6,9.08,6.045,35.0,12.0,-11.6,11.8,17.3,0.4,,,97.0,75.0,151.0,129.0,,162.0,158.0,,,5.0,133775.0,,,,,,,,182.0,854.0,,,1.0,,1.0,,1788760800.0,3.0,17.2,18.1,13.7,0.8,1016.4,0.2,2.0,134.0,0.0,1788757446.0,1788804999.0,0.875,13396594.0,,0.23,5.0,0.98,24795.0,0.0,,,,,,6.045,0.0,,,,,1.12,,9.0,63.0,,,,,,,,,,,,,|
20069647149,"Sep 7, 2026, 5:48:30 AM",Morning Ride,Ride,,672,2.66,135.0,1,true,,commuter ,activities/21213419785.fit.gz,,12.0,672.0,560.0,2668.3,7.5,4.765,30.0,8.0,-12.6,10.0,11.2,0.8,,,,,135.0,110.0,,113.0,85.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1788757200.0,3.0,18.0,18.2,13.3,0.74,1016.4,1.7,3.8,161.0,0.0,1788757446.0,1788804999.0,0.875,13396594.0,,0.0,1.0,0.97,24496.0,0.0,,,,,,3.971,0.0,,,,,0.58,,,,,,,,,,,,,,,,|
20050914668,"Sep 5, 2026, 5:12:29 PM",Evening Walk,Walk,,2247,2.85,114.0,4,false,,,activities/21193303596.fit.gz,,,2247.0,2185.0,2854.2,6.1,1.306,21.0,29.0,0.0,16.8,25.3,-0.3,,,68.0,52.0,114.0,94.0,,,233.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,1788627600.0,2.0,18.9,17.3,11.9,0.64,1024.6,3.9,7.7,297.0,0.0,1788584448.0,1788632478.0,0.875,,,0.21,5.0,0.48,27966.0,0.0,,,,,,1.27,0.0,,,,3890.0,0.0,,,,,,,,,,,,,,,,|
20046428386,"Sep 5, 2026, 6:46:03 AM",110km race...109km headwind,Ride,"",21388,127.81,184.0,272,false,,Cube Agree C:62 Race,activities/21188553578.fit.gz,,7.5,21388.0,16897.0,127818.1,14.08,7.565,391.0,436.0,-29.2,23.6,34.7,0.0,,,110.0,75.0,184.0,145.0,,183.0,3571.0,,19.0,272.0,3086582.0,,,,,,,,201.0,18246.0,0.0,,0.0,,1.0,,1788588000.0,3.0,17.1,15.2,13.4,0.79,1018.1,3.7,8.1,279.0,0.0,1788584448.0,1788632478.0,0.875,9711213.0,,0.16,5.0,0.83,19501.0,0.0,,,,,,5.976,1097.5,,,,,0.0,,242.0,69.0,,,,,,,,,,,,,||media/d178b999-6bbd-4579-95ef-d9cf44adb2aa.jpg|media/e09f304f-6cc8-4752-8e04-2e461ff7b969.jpg|media/2320c228-909d-4f3a-adbc-d4dd49599776.jpg
20034716234,"Sep 4, 2026, 3:00:48 PM",Afternoon Ride,Ride,,781,5.08,150.0,3,true,,commuter ,activities/21175984876.fit.gz,,12.0,781.0,781.0,5079.5,8.813,6.504,51.0,48.0,2.0,14.0,14.4,0.0,,,,,150.0,117.0,,174.0,138.0,,,3.0,,,,,,,,,,,,,1.0,,1.0,,1788534000.0,3.0,19.5,16.3,16.2,0.81,1011.9,5.4,10.2,285.0,0.0,1788497951.0,1788546216.0,0.75,13396594.0,,0.79,5.0,1.0,26841.0,2.0,,,,,,6.504,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
20029301439,"Sep 4, 2026, 5:49:15 AM",Morning Ride,Ride,,912,5.12,149.0,4,true,,commuter ,activities/21170204039.fit.gz,,12.0,912.0,824.0,5121.9,8.38,6.216,50.0,38.0,-4.6,12.2,26.1,0.3,,,,,149.0,124.0,,146.0,162.0,,,4.0,,,,,,,,,,,,,1.0,,1.0,,1788498000.0,3.0,20.5,19.3,18.4,0.88,1011.0,4.3,12.2,222.0,0.1,1788497951.0,1788546216.0,0.75,13396594.0,,0.73,5.0,1.0,16361.0,0.0,,,,,,5.616,0.0,,,,,1.11,,,,,,,,,,,,,,,,|
20020583609,"Sep 3, 2026, 2:07:51 PM",Afternoon Ride,Ride,"",982,5.06,147.0,4,true,,Canyon Grizl,activities/21160832739.fit.gz,,10.0,982.0,812.0,5067.6,8.34,6.241,50.0,44.0,-8.0,15.0,42.9,0.1,,,94.0,75.0,147.0,126.0,,178.0,165.0,,,4.0,142052.0,,,,,,,,173.0,973.0,0.0,,1.0,,1.0,,1788444000.0,3.0,22.6,22.0,18.4,0.77,1016.4,3.8,10.1,248.0,0.1,1788411454.0,1788459954.0,0.625,11728128.0,,0.67,5.0,0.68,20122.0,3.0,,,,,,5.16,0.0,,,,,1.1,,9.0,60.0,,,,,,,,,,,,,|
20015408255,"Sep 3, 2026, 5:48:34 AM",Morning Ride,Ride,"",917,5.11,147.0,5,true,,Canyon Grizl,activities/21155312999.fit.gz,,10.0,917.0,846.0,5116.2,8.3,6.048,41.0,26.0,-9.6,11.4,35.2,0.2,,,88.0,72.0,147.0,129.0,,158.0,154.0,,,5.0,129771.0,,,,,,,,166.0,915.0,0.0,,1.0,,1.0,,1788411600.0,8.0,19.4,16.2,17.7,0.9,1014.9,7.1,11.8,242.0,0.5,1788411454.0,1788459954.0,0.625,11728128.0,,0.62,5.0,1.0,16166.0,0.0,,,,,,5.579,0.0,,,,,1.11,,8.0,57.0,,,,,,,,,,,,,|
20006525539,"Sep 2, 2026, 2:33:19 PM",Afternoon Ride,Ride,"",849,5.09,141.0,3,true,,Canyon Grizl,activities/21145815537.fit.gz,,10.0,849.0,789.0,5093.8,8.5,6.456,38.0,34.0,0.2,15.4,19.6,0.1,,,95.0,76.0,141.0,124.0,,178.0,163.0,,,3.0,140116.0,,,,,,,,182.0,840.0,0.0,,1.0,,1.0,,1788357600.0,3.0,21.1,17.6,13.8,0.63,1019.5,5.8,10.4,243.0,0.0,1788324957.0,1788373691.0,0.625,11728128.0,,0.67,5.0,0.99,18490.0,3.0,,,,,,6.0,0.0,,,,,1.11,,9.0,63.0,,,,,,,,,,,,,|
20000767542,"Sep 2, 2026, 5:47:29 AM",Morning Ride,Ride,"",911,5.10,165.0,5,true,,Canyon Grizl,activities/21139700337.fit.gz,,10.0,911.0,814.0,5104.1,9.12,6.27,29.0,17.0,-6.2,12.4,21.9,0.3,,,95.0,69.0,165.0,129.0,,163.0,153.0,,,5.0,129901.0,,,,,,,,175.0,911.0,0.0,,1.0,,1.0,,1788325200.0,2.0,15.5,14.1,13.8,0.9,1018.8,2.9,6.5,201.0,0.3,1788324957.0,1788373691.0,0.625,11728128.0,,0.69,5.0,0.62,18667.0,0.0,,,,,,5.603,0.0,,,,,1.11,,9.0,60.0,,,,,,,,,,,,,|
19993523008,"Sep 1, 2026, 2:53:21 PM",Taking the benefits of a break in the rain(not wind),Ride,"",8854,66.94,181.0,139,false,,Cube Agree C:62 Race,activities/21132063120.fit.gz,,7.5,8854.0,8541.0,66944.1,13.56,7.838,184.0,192.0,1.2,24.0,38.7,0.0,,,102.0,74.0,181.0,145.0,,204.0,1984.0,,19.0,139.0,1739249.0,,,,,,,,231.0,8855.0,0.0,,0.0,,1.0,,1788271200.0,1.0,20.6,21.5,13.3,0.63,1020.3,2.6,6.3,270.0,0.0,1788238460.0,1788287428.0,0.625,9711213.0,,0.62,5.0,0.28,27541.0,3.0,,,,,,7.561,4.9,,,,,0.0,,156.0,80.0,,,,,,,,,,,,,media/dbc2dfdc-d17d-4d66-999a-a4dd7c9c9013.jpg||
19990988991,"Sep 1, 2026, 2:13:44 PM",Afternoon Ride,Ride,"",810,5.08,140.0,3,true,,Canyon Grizl,activities/21129477331.fit.gz,,10.0,810.0,810.0,5079.8,8.44,6.271,32.0,24.0,3.4,21.6,12.2,0.1,,,91.0,72.0,140.0,121.0,,171.0,159.0,,,3.0,135579.0,,,,,,,,179.0,807.0,0.0,,1.0,,1.0,,1788271200.0,1.0,20.6,21.5,13.3,0.63,1020.3,2.6,6.3,270.0,0.0,1788238460.0,1788287428.0,0.625,11728128.0,,0.62,5.0,0.28,27541.0,3.0,,,,,,6.271,0.0,,,,,1.1,,8.0,62.0,,,,,,,,,,,,,|
19985469005,"Sep 1, 2026, 5:47:58 AM",Morning Ride,Ride,"",916,5.11,151.0,5,true,,Canyon Grizl,activities/21123815653.fit.gz,,10.0,916.0,842.0,5116.7,9.14,6.077,49.0,17.0,-22.2,12.2,32.0,0.6,,,107.0,75.0,151.0,124.0,,168.0,165.0,,,5.0,140311.0,,,,,,,,180.0,915.0,0.0,,1.0,,1.0,,1788238800.0,3.0,16.8,15.5,13.7,0.82,1017.4,3.2,6.6,281.0,0.0,1788238437.0,1788287404.0,0.625,11728128.0,,0.52,5.0,0.95,23739.0,0.0,,,,,,5.586,0.0,,,,,1.11,,9.0,62.0,,,,,,,,,,,,,|
19979018122,"Aug 31, 2026, 4:41:03 PM",Evening Walk,Walk,,3134,3.36,110.0,3,false,,,activities/21117163727.fit.gz,,,3134.0,2703.0,3365.5,4.16,1.245,42.0,47.0,-5.4,19.0,49.1,-0.1,,,64.0,51.0,110.0,74.0,,,258.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1788192000.0,2.0,19.8,18.4,15.4,0.76,1011.8,4.6,10.1,318.0,0.0,1788151963.0,1788201164.0,0.625,,,0.98,5.0,0.51,19636.0,1.0,,,,,,1.074,0.0,,,,3938.0,0.0,,,,,,,,,,,,,,,,|
19976893334,"Aug 31, 2026, 2:38:57 PM",Afternoon Ride,Ride,,908,4.97,129.0,2,true,,commuter ,activities/21114998345.fit.gz,,12.0,908.0,865.0,4972.0,7.729,5.748,41.0,30.0,-7.4,11.8,11.1,0.2,,,,,129.0,112.0,,129.0,130.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1788184800.0,8.0,19.7,15.9,14.1,0.7,1010.5,7.5,14.7,269.0,0.3,1788151963.0,1788201164.0,0.625,13396594.0,,0.97,5.0,0.74,12025.0,3.0,,,,,,5.476,0.0,,,,,1.08,,,,,,,,,,,,,,,,|
19971666626,"Aug 31, 2026, 5:53:05 AM",Morning Ride,Ride,,1044,5.05,135.0,2,true,,commuter ,activities/21109612422.fit.gz,,12.0,1044.0,922.0,5050.5,7.76,5.478,26.0,9.0,-10.2,10.4,9.1,0.3,,,,,135.0,107.0,,104.0,124.0,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1788152400.0,5.0,16.0,15.5,14.7,0.92,1007.1,2.4,6.7,227.0,0.4,1788151963.0,1788201164.0,0.625,13396594.0,,0.96,5.0,0.84,14445.0,0.0,,,,,,4.838,0.0,,,,,1.1,,,,,,,,,,,,,,,,|
19966427064,"Aug 30, 2026, 4:33:54 PM",Evening Ride,Ride,,1071,6.02,146.0,3,true,,commuter ,activities/21104149440.fit.gz,,12.0,1071.0,1043.0,6019.5,8.537,5.771,34.0,23.0,-6.4,7.8,8.6,0.2,,,,,146.0,112.0,,117.0,161.0,,,3.0,,,,,,,,,,,,,1.0,,1.0,,1788105600.0,3.0,20.8,20.3,16.6,0.77,1010.4,2.3,5.2,240.0,0.0,1788065453.0,1788114865.0,0.625,13396594.0,,0.95,5.0,1.0,24990.0,1.0,,,,,,5.62,0.0,,,,,1.31,,,,,,,,,,,,,,,,|
19962623419,"Aug 30, 2026, 11:52:34 AM",Afternoon Ride,Ride,,1345,6.13,150.0,6,true,,commuter ,activities/21100260375.fit.gz,,12.0,1345.0,1135.0,6129.5,7.693,5.4,43.0,36.0,-3.4,6.0,10.6,0.0,,,,,150.0,126.0,,120.0,215.0,,,6.0,,,,,,,,,,,,,1.0,,1.0,,1788087600.0,3.0,18.9,17.8,17.4,0.91,1010.4,3.1,7.7,263.0,0.2,1788065466.0,1788114899.0,0.625,13396594.0,,0.94,5.0,0.92,14942.0,3.0,,,,,,4.557,0.0,,,,,1.33,,,,,,,,,,,,,,,,|
